sample	value
TCGA-A8-A090-01A	-0.1271
TCGA-A8-A090-01A	-0.0899
TCGA-A8-A090-01A	-1.1956
TCGA-A8-A090-01A	-0.1009
TCGA-A8-A090-01A	-0.1252
TCGA-A8-A090-01A	0.1371
TCGA-A8-A090-01A	-0.1309
TCGA-A8-A090-01A	-1.6962
TCGA-A8-A090-01A	-0.1113
TCGA-A8-A090-01A	0.1633
TCGA-A8-A090-01A	-0.1052
TCGA-A8-A090-01A	0.4949
TCGA-A8-A090-01A	1.0755
TCGA-A8-A090-01A	1.2325
TCGA-A8-A090-01A	1.0354
TCGA-A8-A090-01A	0.8784
TCGA-A8-A090-01A	0.7257
TCGA-A8-A090-01A	0.5794
TCGA-A8-A090-01A	0.7626
TCGA-A8-A090-01A	0.6618
TCGA-A8-A090-01A	0.7855
TCGA-A8-A090-01A	0.5682
TCGA-A8-A090-01A	0.739
TCGA-A8-A090-01A	0.876
TCGA-A8-A090-01A	0.9724
TCGA-A8-A090-01A	0.8457
TCGA-A8-A090-01A	0.1723
TCGA-A8-A090-01A	0.6511
TCGA-A8-A090-01A	0.4622
TCGA-A8-A090-01A	0.5658
TCGA-A8-A090-01A	0.3499
TCGA-A8-A090-01A	0.5862
TCGA-A8-A090-01A	0.1516
TCGA-A8-A090-01A	0.2619
TCGA-A8-A090-01A	0.7573
TCGA-A8-A090-01A	0.204
TCGA-A8-A090-01A	0.7306
TCGA-A8-A090-01A	0.1738
TCGA-A8-A090-01A	0.4423
TCGA-A8-A090-01A	0.1633
TCGA-A8-A090-01A	0.5039
TCGA-A8-A090-01A	0.261
TCGA-A8-A090-01A	0.4923
TCGA-A8-A090-01A	0.0894
TCGA-A8-A090-01A	0.4328
TCGA-A8-A090-01A	0.7291
TCGA-A8-A090-01A	0.3235
TCGA-A8-A090-01A	0.8564
TCGA-A8-A090-01A	0.343
TCGA-A8-A090-01A	0.6359
TCGA-A8-A090-01A	0.3762
TCGA-A8-A090-01A	0.6529
TCGA-A8-A090-01A	0.1533
TCGA-A8-A090-01A	0.4102
TCGA-A8-A090-01A	0.2543
TCGA-A8-A090-01A	0.4058
TCGA-A8-A090-01A	0.2226
TCGA-A8-A090-01A	0.4867
TCGA-A8-A090-01A	0.1341
TCGA-A8-A090-01A	0.368
TCGA-A8-A090-01A	0.154
TCGA-A8-A090-01A	0.1292
TCGA-A8-A090-01A	0.1611
TCGA-A8-A090-01A	0.2328
TCGA-A8-A090-01A	0.1527
TCGA-A8-A090-01A	-0.1354
TCGA-A8-A090-01A	0.1507
TCGA-A8-A090-01A	0.1336
TCGA-A8-A090-01A	0.1504
TCGA-A8-A090-01A	0.1414
TCGA-A8-A090-01A	0.0942
TCGA-A8-A090-01A	0.168
TCGA-A8-A090-01A	0.1335
TCGA-A8-A090-01A	0.152
TCGA-A8-A090-01A	0.1369
TCGA-A8-A090-01A	0.1584
TCGA-A8-A090-01A	0.1555
TCGA-A8-A090-01A	0.3978
TCGA-A8-A090-01A	0.1387
