sample	ieITH_score	score_type
TCGA-A8-A090-01	2.608791791	cnvITH
TCGA-AO-A03N-01	2.942314508	cnvITH
TCGA-A7-A6VW-01	2.319311237	cnvITH
TCGA-EW-A1PG-01	1.505335085	cnvITH
TCGA-AC-A2FG-01	2.52720369	cnvITH
TCGA-BH-A0B3-01	2.693767309	cnvITH
TCGA-A8-A06R-01	3.234528307	cnvITH
TCGA-BH-A18G-01	2.203564714	cnvITH
TCGA-E2-A159-01	2.343212388	cnvITH
TCGA-BH-A0DO-01	2.48073944	cnvITH
TCGA-BH-A0GY-01	3.385065029	cnvITH
TCGA-AC-A2QH-01	1.537661738	cnvITH
TCGA-BH-A0HF-01	2.746408439	cnvITH
TCGA-AO-A12G-01	2.88551339	cnvITH
TCGA-GM-A2DB-01	2.096114717	cnvITH
TCGA-AO-A03L-01	2.710820455	cnvITH
TCGA-E2-A154-01	2.535001868	cnvITH
TCGA-E2-A14R-01	3.080748197	cnvITH
TCGA-BH-A0HY-01	3.228321782	cnvITH
TCGA-E2-A15E-06	2.642558363	cnvITH
TCGA-BH-A5J0-01	2.951479959	cnvITH
TCGA-BH-A1FG-01	2.765980059	cnvITH
TCGA-A8-A07S-01	2.068686539	cnvITH
TCGA-A7-A0DB-01	2.789400855	cnvITH
TCGA-AR-A0U3-01	2.78813306	cnvITH
TCGA-AN-A046-01	2.347508564	cnvITH
TCGA-A7-A4SB-01	3.084612547	cnvITH
TCGA-AO-A03V-01	3.286440589	cnvITH
TCGA-B6-A0IM-01	2.798113644	cnvITH
TCGA-A2-A0D1-01	3.282794062	cnvITH
TCGA-PE-A5DD-01	2.355920147	cnvITH
TCGA-E9-A243-01	1.931474885	cnvITH
TCGA-AR-A0TW-01	3.011962099	cnvITH
TCGA-Z7-A8R6-01	2.607150822	cnvITH
TCGA-E2-A107-01	2.55216345	cnvITH
TCGA-D8-A27R-01	2.674608504	cnvITH
TCGA-BH-A0BA-01	2.315040524	cnvITH
TCGA-AO-A129-01	2.574728108	cnvITH
TCGA-BH-A1FD-01	2.854340036	cnvITH
TCGA-E9-A1N9-01	2.877053317	cnvITH
TCGA-A1-A0SG-01	2.687004054	cnvITH
TCGA-A7-A5ZV-01	3.460400642	cnvITH
TCGA-BH-A0H0-01	2.321045854	cnvITH
TCGA-D8-A13Y-01	2.798994436	cnvITH
TCGA-EW-A1OX-01	2.797318988	cnvITH
TCGA-EW-A1J2-01	2.51806856	cnvITH
TCGA-B6-A0IO-01	2.88861871	cnvITH
TCGA-B6-A0WV-01	2.786602582	cnvITH
TCGA-AC-A3W5-01	2.706640622	cnvITH
TCGA-D8-A1JH-01	2.422087586	cnvITH
TCGA-A1-A0SJ-01	3.50204432	cnvITH
TCGA-B6-A0IH-01	2.718823111	cnvITH
TCGA-E2-A576-01	2.378136443	cnvITH
TCGA-A8-A076-01	3.416579324	cnvITH
TCGA-A8-A0A9-01	3.458729348	cnvITH
TCGA-BH-A203-01	2.941957315	cnvITH
TCGA-A8-A07I-01	3.149166569	cnvITH
TCGA-A2-A3XZ-01	2.361339592	cnvITH
TCGA-LL-A740-01	2.879934876	cnvITH
TCGA-EW-A2FW-01	3.378513628	cnvITH
TCGA-E2-A1IJ-01	2.279033999	cnvITH
TCGA-BH-A0E2-01	2.805925194	cnvITH
