	TCGA-A7-A0CE-11A-21R-A089-07	TCGA-A7-A0CH-11A-32R-A089-07	TCGA-A7-A0D9-11A-53R-A089-07	TCGA-A7-A0DB-11A-33R-A089-07	TCGA-A7-A13E-11A-61R-A12P-07	TCGA-A7-A13F-11A-42R-A12P-07	TCGA-A7-A13G-11A-51R-A13Q-07	TCGA-AC-A23H-11A-12R-A157-07	TCGA-AC-A2FB-11A-13R-A17B-07	TCGA-AC-A2FF-11A-13R-A17B-07	TCGA-AC-A2FM-11B-32R-A19W-07	TCGA-BH-A0AU-11A-11R-A12P-07	TCGA-BH-A0AY-11A-23R-A089-07	TCGA-BH-A0AZ-11A-22R-A12P-07
100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100133144	2.415028482	2.380923346	2.019701914	2.097071371	1.629053477	1.39752918	2.867758117	2.776904093	3.604225551	3.38710056	0.493442391	4.304912546	3.224626867	3.710580543
100134869	2.298834243	1.671383963	0	0.883933562	2.095519396	2.498761466	2.506094112	3.241641914	2.28475101	2.845389686	1.152832405	3.552426259	3.264341256	3.732583974
10357	6.320553273	5.77183277	6.468850458	5.959225333	6.712775969	6.40122769	6.852127465	6.566611214	6.484250938	6.62491094	7.071540663	6.631853672	5.981852653	6.401178188
10431	9.935773093	9.924451636	9.591272869	9.445825591	9.835825725	9.354897953	9.308758125	9.283639621	9.408628865	9.521272999	9.855440051	8.868235173	9.40319741	8.939070802
136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155060	7.781671827	7.099654992	6.794150698	6.743967288	6.094447222	7.593852711	7.589024126	6.759476782	6.735245959	7.465757391	7.976224424	8.925707231	7.22169248	8.798992082
26823	0.965248657	0	0	0	0	0.924556002	1.393251437	0.778713221	0	1.082566351	0	2.444905553	0	0.68670221
280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340602	1.538438835	0	0	1.022119204	0.982436918	0	0	0.44127099	0.37928825	0.355467388	1.152832405	0.854554259	0	0.383828687
388795	0.709202395	0	0	0	1.300826593	1.23087931	0.492314685	1.051998468	0	1.563695074	0.493442391	1.145481822	0	1.150039693
390284	2.877587213	3.573786528	2.342924474	3.741046251	2.142511466	2.199216892	3.191152018	3.027914841	2.746957642	3.047137003	3.257674467	2.444905553	3.621090679	2.311067102
391343	0	0	0	0	0.573277568	0.535057595	0.492314685	0	0	0.355467388	0	1.145481822	0	0.936892302
391714	0.397802962	0.460585313	0.593784005	0	0	0.535057595	0	0.778713221	0.37928825	0.355467388	0	0.854554259	0	0.936892302
404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0
553137	3.305810051	1.861081942	0	0	0	0	0	1.653931334	0.37928825	0.878372225	0.860525852	0.854554259	0	1.33571191
57714	7.931769323	7.48908849	9.675428889	9.486824566	9.562751094	9.028815271	9.723226791	9.030805882	8.859075039	9.461912395	6.248701805	9.387488344	8.286808623	9.276277509
645851	2.99712979	3.479631542	2.480911346	3.795621507	2.555570778	3.252733545	3.630719978	2.824319805	2.611550123	3.821108116	1.152832405	4.350207265	2.99213394	4.100540401
652919	0	0	1.826111164	4.949390189	7.197647225	0	1.189666447	3.530957168	0	5.509372814	0	5.535629979	5.543468044	6.158068355
653553	7.421864542	8.321688678	6.691285692	7.088009053	8.006447268	7.681665007	6.593462836	7.047861162	7.956880831	7.107792469	8.640398237	6.44409222	6.422613138	6.287555406
728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
728603	0	0	0	0	0	1.23087931	1.150559677	0	1.767866632	0	0	0	2.015604611	0
728788	0	0	0	0.599793852	0.573277568	0.535057595	0.85861763	1.653931334	0.679333711	0	0	2.81991338	2.015604611	1.150039693
729884	3.351388048	6.086376168	4.310274674	3.563731677	1.973574542	1.698307394	0	2.670659081	2.381172605	7.001681788	3.770057288	2.081544154	4.870902239	5.159798696
8225	9.251651406	9.376059603	8.866926209	8.881476807	8.482419556	8.733987076	8.289628852	7.858899177	8.585224717	8.632919972	10.37290945	9.266813708	8.501058118	8.799978998
90288	5.829672002	5.442983294	5.501356339	3.361543798	6.114904187	3.8991853	5.476174277	3.461895211	4.763379703	4.645736239	5.312661544	5.110141877	5.161186314	5.109732469
1	7.280520248	6.785921901	4.069023274	4.327126846	5.410900732	6.098575361	4.208423616	5.306681482	6.258662132	6.468988896	8.476146728	6.764687179	6.35823976	6.781751811
29974	0.709202395	0	0	0	0	0	0	0	0	0.640528385	0	0	0	4.223337592
54715	0.709202395	2.251325232	0.593784005	0	0.573277568	0	0	1.809290956	0.37928825	0.355467388	1.94665601	0.489645688	1.204328555	1.150039693
87769	6.913858789	6.819794618	6.73476516	7.272088527	6.951232252	6.830210949	6.850654426	6.270663488	6.222228821	6.276993484	6.365409093	5.983793963	6.27296377	6.257925217
144568	4.155862546	4.36163503	4.57968703	3.432130956	2.29372361	3.443447522	1.393251437	5.128965589	3.599948537	4.195804274	1.785341299	0.854554259	4.805111849	4.269669049
