	TCGA-3C-AAAU-01A-11R-A41B-07	TCGA-3C-AALI-01A-11R-A41B-07	TCGA-3C-AALJ-01A-31R-A41B-07	TCGA-3C-AALK-01A-11R-A41B-07	TCGA-4H-AAAK-01A-12R-A41B-07	TCGA-5L-AAT0-01A-12R-A41B-07	TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-5T-A9QA-01A-11R-A41B-07	TCGA-A1-A0SB-01A-11R-A144-07	TCGA-A1-A0SD-01A-11R-A115-07	TCGA-A1-A0SE-01A-11R-A084-07	TCGA-A1-A0SF-01A-11R-A144-07	TCGA-A1-A0SG-01A-11R-A144-07	TCGA-A1-A0SH-01A-11R-A084-07
100130426	0	0	0.931002202	0	0	0	0	0	0	0	0	0	0	0
100133144	4.118060656	3.359788207	3.657960061	3.710327063	2.972104429	2.318721752	0	1.301236441	4.030300761	3.394761064	3.464276177	3.492071087	2.820178962	1.427713432
100134869	3.800289051	4.199986367	3.354649622	3.594536607	3.947647457	3.868785523	3.535418472	3.321322036	3.944249388	3.623410389	2.44429601	3.553372792	2.426962448	2.001730196
10357	5.73200593	6.144766313	7.278889866	7.178558294	6.412998252	6.848713067	6.87034499	6.762386025	6.875128836	5.936944111	7.268146155	7.151709678	6.120689929	6.336288744
10431	8.676225088	9.141834835	10.41133525	9.759115544	9.583802995	9.659537688	10.11555676	10.47320051	9.362560186	9.935043469	10.0839146	10.25345161	10.06852397	9.951571768
136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155060	10.21432519	9.014135714	9.21194133	9.11309437	8.032602855	8.11523513	7.711763322	6.27351216	8.133199765	6.404266218	6.242255699	8.301259308	7.997306523	6.595524546
26823	0	1.061776198	0	0.499476	0.511468039	0	0	0.606915942	0.536550296	0.412293771	0	0	0.443606651	0
280660	0	0.626485863	0	0	0	0	0	0	0	0	0	0	0	0
317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340602	1.445355919	7.180904703	0	0	0.511468039	0	0	0	0.926758532	0.732573121	0	0	0	0
388795	0.427284346	2.55924706	1.895263839	1.617627613	1.992297122	1.742609903	2.343407822	3.644583125	0.926758532	0.412293771	0.990737079	1.999567127	1.659924558	0.444879056
390284	2.360617112	1.395775743	1.895263839	2.472773683	1.992297122	2.779469857	2.558267634	1.628586977	1.486456956	2.493519248	2.7212414	3.38196164	3.269048112	2.314029397
391343	0	3.194812001	0	0	0	0	0.859969548	0	0	0.412293771	0.410449655	0	1.056583528	0
391714	0.756425557	0.626485863	0	0	0	0	0	0	0.536550296	0.412293771	0.410449655	0	0	0
404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0
553137	2.260387037	0	0.931002202	0	0.511468039	0.665938454	1.3950628	1.032806145	0.536550296	2.213844945	1.211822119	1.651683181	3.560727181	5.667866586
57714	9.682954742	9.470734514	8.617133522	8.842368573	8.814940332	7.721109445	8.399142462	7.744087748	8.724921706	10.06859571	9.061892278	7.965221524	9.520279426	9.992041718
645851	6.97064432	7.164592214	5.147774766	4.063675503	3.951224091	3.530907243	2.558267634	3.380480113	3.447711427	3.928417701	2.487280529	2.146394549	3.321942522	2.087598618
652919	4.746817944	3.841852386	0	0	3.102910035	0	0	0	0	0	0	0	3.79876598	5.803627442
