sample	vaf
TCGA-D8-A1XY-01A-11D-A14K-09	0.402439024
TCGA-D8-A1XY-01A-11D-A14K-09	0.511627907
TCGA-D8-A1XY-01A-11D-A14K-09	0.658823529
TCGA-D8-A1XY-01A-11D-A14K-09	0.234899329
TCGA-D8-A1XY-01A-11D-A14K-09	0.239583333
TCGA-D8-A1XY-01A-11D-A14K-09	0.186666667
TCGA-D8-A1XY-01A-11D-A14K-09	0.180851064
TCGA-D8-A1XY-01A-11D-A14K-09	0.175675676
TCGA-D8-A1XY-01A-11D-A14K-09	0.171779141
TCGA-D8-A1XY-01A-11D-A14K-09	0.212765957
TCGA-D8-A1XY-01A-11D-A14K-09	0.203703704
TCGA-D8-A1XY-01A-11D-A14K-09	0.385964912
TCGA-D8-A1XY-01A-11D-A14K-09	0.136125654
TCGA-D8-A1XY-01A-11D-A14K-09	0.181818182
TCGA-D8-A1XY-01A-11D-A14K-09	0.256578947
TCGA-D8-A1XY-01A-11D-A14K-09	0.35915493
TCGA-D8-A1XY-01A-11D-A14K-09	0.112676056
TCGA-D8-A1XY-01A-11D-A14K-09	0.16091954
TCGA-D8-A1XY-01A-11D-A14K-09	0.075268817
TCGA-D8-A1XY-01A-11D-A14K-09	0.408163265
TCGA-D8-A1XY-01A-11D-A14K-09	0.333333333
TCGA-D8-A1XY-01A-11D-A14K-09	0.387096774
TCGA-D8-A1XY-01A-11D-A14K-09	0.1
TCGA-D8-A1XY-01A-11D-A14K-09	0.34351145
TCGA-D8-A1XY-01A-11D-A14K-09	0.113333333
TCGA-D8-A1XY-01A-11D-A14K-09	0.076923077
TCGA-D8-A1XY-01A-11D-A14K-09	0.173913043
TCGA-D8-A1XY-01A-11D-A14K-09	0.240310078
TCGA-D8-A1XY-01A-11D-A14K-09	0.4
TCGA-D8-A1XY-01A-11D-A14K-09	0.176470588
TCGA-D8-A1XY-01A-11D-A14K-09	0.148148148
TCGA-D8-A1XY-01A-11D-A14K-09	0.027777778
TCGA-D8-A1XY-01A-11D-A14K-09	0.221311475
TCGA-D8-A1XY-01A-11D-A14K-09	0.114285714
TCGA-D8-A1XY-01A-11D-A14K-09	0.222222222
TCGA-D8-A1XY-01A-11D-A14K-09	0.26744186
TCGA-D8-A1XY-01A-11D-A14K-09	0.087248322
TCGA-D8-A1XY-01A-11D-A14K-09	0.078431373
TCGA-D8-A1XY-01A-11D-A14K-09	0.219512195
TCGA-D8-A1XY-01A-11D-A14K-09	0.173076923
TCGA-D8-A1XY-01A-11D-A14K-09	0.34375
TCGA-D8-A1XY-01A-11D-A14K-09	0.15
TCGA-D8-A1XY-01A-11D-A14K-09	0.1875
TCGA-D8-A1XY-01A-11D-A14K-09	0.310344828
TCGA-D8-A1XY-01A-11D-A14K-09	0.242990654
TCGA-D8-A1XY-01A-11D-A14K-09	0.285714286
